t,x,y,z,intensity
373,12273.5361328125,14015.75,-276.744018554688,764.213562011719
378,12247.55859375,13537.72265625,-638.295654296875,2007.31311035156
383,12429.4912109375,13858.263671875,-585.739379882812,1661.2314453125
383,12404.4189453125,13713.875,-584.120727539062,1384.64611816406
386,12557.1171875,14081.0048828125,-230.315063476562,684.431701660156
393,12449.359375,14164.24609375,-310.199829101562,833.644775390625
394,12395.935546875,14066.0400390625,-474.802978515625,1028.41479492188
395,12325.6396484375,13326.9638671875,-334.588745117188,634.764404296875
395,12399.892578125,13925.814453125,-406.942749023438,950.494018554688
395,12655.041015625,14392.033203125,957.592956542969,2106.9013671875
397,12474.1201171875,14360.4306640625,-158.96435546875,553.08056640625
398,12268.1064453125,13754.6865234375,-529.923095703125,1332.25891113281
399,12407.6220703125,14184.0439453125,-63.444091796875,609.442443847656
403,12425.576171875,14148.87109375,-382.354858398438,1058.24499511719
403,12430.0302734375,14154.3857421875,-367.2021484375,947.742797851562
406,12563.427734375,14326.806640625,-281.713745117188,1005.61956787109
411,12389.1552734375,14255.1552734375,-149.130493164062,607.787719726562
412,12330.787109375,14120.578125,-269.954345703125,512.937561035156
413,12703.82421875,14215.09375,-175.728759765625,543.736633300781
414,12431.80859375,14160.501953125,-566.876098632812,1588.67004394531
416,12486.025390625,14114.9140625,-265.794189453125,659.59765625
417,12539.42578125,14224.38671875,-367.765625,717.292419433594
419,12627.1328125,14461.9873046875,-145.503173828125,575.396850585938
421,12227.58203125,13807.255859375,-453.805084228516,903.698181152344
423,12502.05859375,14092.8212890625,-176.194458007812,585.416076660156
424,12486.564453125,14352.50390625,758.732177734375,1714.65197753906
